sale_id,sale_number,sale_year,sale_month,private_sales_weekly_2026,private_sales_weekly_2025,private_sales_todate_2026,private_sales_todate_2025,public_auction_weekly_2026,public_auction_weekly_2025,public_auction_todate_2026,public_auction_todate_2025,forward_contracts_weekly_2026,forward_contracts_weekly_2025,forward_contracts_todate_2026,forward_contracts_todate_2025,total_sold_weekly_2026,total_sold_weekly_2025,total_sold_todate_2026,total_sold_todate_2025,fx_usd_2026,fx_usd_2025,fx_usd_2024,fx_gbp_2026,fx_gbp_2025,fx_gbp_2024,fx_eur_2026,fx_eur_2025,fx_eur_2024,fx_jpy_2026,fx_jpy_2025,fx_jpy_2024,avg_qty_mkgs_27th_august_2025,avg_lkr_27th_august_2025,avg_usd_27th_august_2025,avg_qty_mkgs_29th_october_2025,avg_lkr_29th_october_2025,avg_usd_29th_october_2025,avg_qty_mkgs_30th_september_2025,avg_lkr_30th_september_2025,avg_usd_30th_september_2025,avg_qty_mkgs_26th_november_2025,avg_lkr_26th_november_2025,avg_usd_26th_november_2025,avg_qty_mkgs_29th_april_2025,avg_lkr_29th_april_2025,avg_usd_29th_april_2025,avg_qty_mkgs_07th_may_2025,avg_lkr_07th_may_2025,avg_usd_07th_may_2025,avg_qty_mkgs_14th_may_2025,avg_lkr_14th_may_2025,avg_usd_14th_may_2025,avg_qty_mkgs_21st_may_2025,avg_lkr_21st_may_2025,avg_usd_21st_may_2025,avg_qty_mkgs_28th_may_2025,avg_lkr_28th_may_2025,avg_usd_28th_may_2025,avg_qty_mkgs_04th_june_2025,avg_lkr_04th_june_2025,avg_usd_04th_june_2025,avg_qty_mkgs_11th_june_2025,avg_lkr_11th_june_2025,avg_usd_11th_june_2025,avg_qty_mkgs_18th_june_2025,avg_lkr_18th_june_2025,avg_usd_18th_june_2025,avg_qty_mkgs_25th_june_2025,avg_lkr_25th_june_2025,avg_usd_25th_june_2025,avg_qty_mkgs_01st_july_2025,avg_lkr_01st_july_2025,avg_usd_01st_july_2025,avg_qty_mkgs_02nd_july_2025,avg_lkr_02nd_july_2025,avg_usd_02nd_july_2025,avg_qty_mkgs_08th_july_2025,avg_lkr_08th_july_2025,avg_usd_08th_july_2025,avg_qty_mkgs_16th_july_2025,avg_lkr_16th_july_2025,avg_usd_16th_july_2025,avg_qty_mkgs_23rd_july_2025,avg_lkr_23rd_july_2025,avg_usd_23rd_july_2025,avg_qty_mkgs_30th_july_2025,avg_lkr_30th_july_2025,avg_usd_30th_july_2025
SALE_18_2025,18,2025,May,203436.0,100882.0,3842383.0,1992324.0,5703925.0,4652167.0,82983730.0,78233554.0,45935.0,10075.0,1069871.0,514200.0,5953296.0,4763124.0,87895984.0,80740078.0,294.88,294.38,311.0,388.65,366.22,391.66,329.07,314.52,341.1,2.01,1.88,2.29,,,,,,,,,,,,,,,,5.7,1166.87,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_19_2025,19,2025,May,258690.0,101837.0,4101073.0,2094161.0,4257149.0,4392058.0,87240879.0,82625612.0,40000.0,35500.0,1109871.0,549700.0,4555839.0,4529395.0,92451823.0,85269473.0,295.81,296.74,302.42,393.93,372.65,376.67,330.82,319.56,327.46,2.03,1.88,2.21,,,,,,,,,,,,,,,,5.7,1166.87,3.95,4.26,1170.01,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_20_2025,20,2025,May,217149.0,133915.0,4318223.0,2228077.0,6143399.0,5056401.0,93384278.0,87682014.0,40000.0,39240.0,1149871.0,588940.0,6400548.0,5229556.0,98852372.0,90499031.0,295.44,294.92,299.19,399.64,373.54,370.97,335.02,319.39,321.86,2.06,1.88,2.15,,,,,,,,,,,,,,,,,,,4.26,1170.01,3.97,6.14,1153.35,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_21_2025,21,2025,June,250979.0,98623.0,4569202.0,2326700.0,5698830.0,5738117.0,99083108.0,93420131.0,51040.0,61280.0,1200911.0,650220.0,6000849.0,5898020.0,104853221.0,96397051.0,295.37,296.83,290.67,398.0,377.09,358.17,335.68,320.22,309.96,2.05,1.87,2.06,,,,,,,,,,,,,,,,,,,,,,6.14,1153.35,3.9,2025.0,2025.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_22_2025,22,2025,June,199815.0,128450.0,4769018.0,2455150.0,5819084.0,5183257.0,104902192.0,98603388.0,,,,,6018899.0,5354947.0,110872121.0,101751998.0,294.99,297.14,284.84,398.53,379.41,353.39,335.12,322.62,303.9,2.03,1.89,2.03,,,,,,,,,,,,,,,,,,,,,,,,,5.69,1166.92,3.95,5.82,1126.43,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_23_2025,23,2025,June,162178.0,146108.0,4931196.0,2601259.0,5589313.0,5586586.0,110491505.0,104189974.0,63920.0,49200.0,1264831.0,742660.0,5815411.0,5781894.0,116687532.0,107533893.0,296.86,298.79,303.19,401.49,379.44,381.69,341.64,319.3,325.78,2.04,1.89,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82,1126.43,3.18,5.59,1134.64,3.85,,,,,,,,,,,,,,,,,,,,,,,,
SALE_24_2025,24,2025,June,239939.0,137771.0,5171135.0,2739030.0,5275951.0,4878445.0,115767456.0,109068419.0,50000.0,65290.0,1314831.0,807950.0,5565890.0,5081506.0,122253422.0,112615399.0,296.67,299.31,298.47,400.75,378.58,379.69,342.6,319.23,324.45,2.03,1.89,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59,1134.64,3.85,5.28,1104.01,3.72,,,,,,,,,,,,,,,,,,,,,
SALE_25_2025,25,2025,July,197417.0,200011.0,5368552.0,2939041.0,5406971.0,5273253.0,121175877.0,114341672.0,44000.0,39500.0,1358831.0,847450.0,5648388.0,5512764.0,127903260.0,118128163.0,295.91,300.54,301.32,405.11,380.07,382.63,347.33,320.98,328.46,2.05,1.87,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,1104.01,3.72,2025.0,2025.0,2025.0,,,,,,,,,,,,,,,,,,
SALE_26_2025,26,2025,July,160056.0,162820.0,5528609.0,3101861.0,5573326.0,4588064.0,126750175.0,118929736.0,44000.0,42700.0,1402831.0,890150.0,5777382.0,4793584.0,133681615.0,122921747.0,296.24,300.39,299.87,402.57,378.16,379.87,347.16,1.85,2.06,2.03,320.69,326.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,1104.01,3.72,5.57,1107.48,3.74,,,,,,,,,,,,,,,
SALE_27_2025,27,2025,July,166053.0,166612.0,5694633.0,3268473.0,5243271.0,4615009.0,131993446.0,123544745.0,44000.0,75340.0,1446831.0,965490.0,5453324.0,4856961.0,139134940.0,127778708.0,297.23,299.79,306.15,397.71,382.6,396.53,345.25,322.8,337.01,2.0,1.85,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57,1107.48,3.74,5.24,1140.15,3.85,,,,,,,,,
SALE_28_2025,28,2025,July,267447.0,139943.0,5962110.0,3408417.0,5406718.0,4937034.0,137400164.0,128481779.0,33000.0,50520.0,1479831.0,1016010.0,5707165.0,5127497.0,144842105.0,132906206.0,297.99,297.13,314.95,401.53,384.57,412.32,348.12,322.55,353.18,2.02,1.86,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24,1140.15,3.85,5.41,1136.78,3.82,,,,,,
SALE_29_2025,29,2025,July,215665.0,173444.0,6177776.0,3408417.0,5107980.0,4768207.0,142508144.0,133249986.0,24000.0,66010.0,1503831.0,1016010.0,5347645.0,5007661.0,150189751.0,137674413.0,298.18,298.89,323.03,396.74,384.75,413.53,343.99,323.78,356.33,1.99,1.88,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,1136.78,3.82,5.11,1150.57,3.86,,,
SALE_30_2025,30,2025,August,168037.0,145855.0,6345813.0,3727717.0,4879401.0,4920448.0,147388095.0,138170434.0,27400.0,65400.0,1531231.0,1147420.0,5074838.0,5131703.0,155265139.0,143045571.0,297.43,298.09,323.96,393.64,381.61,413.79,342.66,320.62,354.13,2.0,1.92,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,1150.57,3.86,2025.0,2025.0,2025.0
SALE_31_2025,31,2025,August,190396.0,132486.0,6536209.0,3860203.0,4602603.0,4981688.0,151987808.0,143152122.0,20000.0,34910.0,1551231.0,1182330.0,4812999.0,5149084.0,160075248.0,148194655.0,297.07,297.69,315.11,397.64,379.07,401.21,343.48,324.33,344.98,1.99,2.04,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88,1183.65,3.97
