table,column,description,data_type,example_value
01_sales_index,commentary,Full market commentary text (up to 1500 chars),text,"Auctionofferingstotalled5.2M/Kgs,marginallylowerfromthepreviousweek's5.4M/Kgs.Leafyteas-most categoriesofteasoldatfirmtodearerrateswiththeexceptionofthePEKgrade,whichcontinuedtoweaken further.High&MidGrownBOP/BOPF'smetwithimproveddemandandoftenappreciatedinvalue. Ex-Estateofferingsweresimilartolastandtotalled0.6M/Kgs.Overallqualityshowednosignificantchange,whilst therewasimproveddemandparticularlyforteasintheBelowBestandPlainercategories. Inthebackdropoflimitedavailability,BOP'softenappreciatedbyRs.100perkgandmore,whilstamajorityofthe BOPF'sappreciatedbyRs.50-80perkgwithselectinvoicesappreciatingfurther. PricesforCTCteastooweremaintainedaroundlastweek'slevels. TherewasimprovedactivityfromshipperstoJapanandtheCIS,whilsttherewaslessnoticeableactivityfrom shipperstotheUK,thecontinentandSouthAfrica. LowGrownscomprisedof2.2M/Kgs.TippyandPremiumcategoriesmetwithgooddemandandweredearer, whilstwell-madeteasintheLeafycataloguemetwithfairdemandandwerefullyfirmtodearer.However,the balancewereeasier.TeasintheSemi-Leafycategorymetwithlowerdemand. IntheLeafycatalogues,high-pricedOP1/BOP1'swerefirmtodearer,whilstthebalancesoldaroundlastlevels. Teasatthebottomwereeasier.Well-madeOP/OPA'sappreciated,whilstthebalancewereeasierfollowing quality.SelectBestandBestPEK'swereeasier,whilstthebalancedeclinedsubstantially.Afewhigh-pricedPEK1's appreciatedonspecialinquiry,whilstthebalancetogetherwiththeBestandBelowBestwereirregularandmostly lower. IntheTippycatalogues,FBOP'singeneralweredearer.Well-made"
01_sales_index,sentiment_overall,Rule-based sentiment of full commentary: −1 (bearish) to +1 (bullish),float,0.4054
01_sales_index,sentiment_ex_estate,Sentiment score for Ex-Estate commentary segment,float,0.4054
01_sales_index,sentiment_low_grown,Sentiment score for Low Grown commentary segment,float,0.0
01_sales_index,western_nuwara_eliya_weather_desc,Raw weather text for Western/Nuwara Eliya region,text,"Both regions reported bright mornings and evening showers The Western, Nuwara Eliya, Uva and throughout the week. The Department of Meteorology expects Udapussellawa regions reported an fairly heavy showers in the Nuwara Eliya Region in the week ahea"
01_sales_index,western_nuwara_eliya_weather_score,Weather severity 1=sunny … 5=heavy rain,integer,3
01_sales_index,uva_udapussellawa_weather_desc,Raw weather text for Uva/Udapussellawa region,text,Sunny mornings and evening showers were reported in Uva and Udapussellawa regions throughout the week. According to the Department of Meteorology fairly heavy showers are expected in the Uva Region in the week ahead.
01_sales_index,uva_udapussellawa_weather_score,Weather severity 1=sunny … 5=heavy rain,integer,3
01_sales_index,low_grown_weather_desc,Raw weather text for Low Grown region,text,Region reported a decline. Uva/Udapussellawa Region Sunny mornings and evening showers were reported in Uva and Udapussellawa regions throughout the week. According to the Department of Meteorology fairly heavy showers are expected in the Uva Region 
01_sales_index,low_grown_weather_score,Weather severity 1=sunny … 5=heavy rain,integer,3
01_sales_index,crop_notes,Crop intake summary text,text,"AND WEATHER FOR THE PERIOD 14TH - 20TH NOVEMBER 2023 Crop Western/Nuwara Eliya Regions Both regions reported bright mornings and evening showers The Western, Nuwara Eliya, Uva and throughout the week. The Department of Meteorology expects Udapussellawa regions reported an fairly heavy showers in the"
01_sales_index,avg_weather_severity,Mean of the three regional weather scores,float,3.0
01_sales_index,crop_nuwara_eliya_trend,Crop intake trend: +1 increase / 0 maintained / -1 decrease,integer,1.0
01_sales_index,crop_western_trend,Crop intake trend for Western region,integer,1.0
01_sales_index,crop_uva_trend,Crop intake trend for Uva region,integer,1.0
01_sales_index,crop_low_grown_trend,Crop intake trend for Low Grown region,integer,1.0
01_sales_index,private_sales_weekly_2026,Private sales volume this week 2026 (kgs),integer,78328.0
01_sales_index,private_sales_weekly_2025,Private sales volume this week 2025 (kgs),integer,77259.0
01_sales_index,private_sales_todate_2026,,,4581454.0
01_sales_index,private_sales_todate_2025,,,3720063.0
01_sales_index,public_auction_weekly_2026,Public auction volume sold this week 2026 (kgs),integer,4738698.0
01_sales_index,public_auction_weekly_2025,Public auction volume sold this week 2025 (kgs),integer,3916214.0
01_sales_index,public_auction_todate_2026,Public auction year-to-date volume 2026 (kgs),integer,215096696.0
01_sales_index,public_auction_todate_2025,Public auction year-to-date volume 2025 (kgs),integer,215472931.0
01_sales_index,forward_contracts_weekly_2026,Forward contract volume this week 2026 (kgs),integer,25000.0
01_sales_index,forward_contracts_weekly_2025,,,45650.0
01_sales_index,forward_contracts_todate_2026,Forward contract year-to-date volume 2026 (kgs),integer,2098908.0
01_sales_index,forward_contracts_todate_2025,,,1710490.0
01_sales_index,total_sold_weekly_2026,Total all-channel volume sold this week 2026 (kgs),integer,4842026.0
01_sales_index,total_sold_weekly_2025,Total all-channel volume sold this week 2025 (kgs),integer,4039123.0
01_sales_index,total_sold_todate_2026,,,221777058.0
01_sales_index,total_sold_todate_2025,,,220903484.0
01_sales_index,fx_usd_2026,LKR per USD (current year),float,323.05
01_sales_index,fx_usd_2025,LKR per USD (prior year),float,360.99
01_sales_index,fx_usd_2024,LKR per USD (two years prior),float,198.5
01_sales_index,fx_gbp_2026,LKR per GBP (current year),float,403.32
01_sales_index,fx_gbp_2025,,,425.82
01_sales_index,fx_gbp_2024,,,264.44
01_sales_index,fx_eur_2026,LKR per EUR (current year),float,352.37
01_sales_index,fx_eur_2025,,,367.96
01_sales_index,fx_eur_2024,,,222.05
01_sales_index,fx_jpy_2026,LKR per JPY (current year),float,2.17
01_sales_index,fx_jpy_2025,,,2.52
01_sales_index,fx_jpy_2024,,,1.71
01_sales_index,gross_lkr_weekly_total_2026,,,1107.06
01_sales_index,gross_lkr_weekly_total_2025,,,1398.21
01_sales_index,gross_lkr_todate_total_2026,,,1178.07
01_sales_index,gross_lkr_todate_total_2025,,,1229.33
01_sales_index,gross_lkr_weekly_uva_high_2026,,,932.26
01_sales_index,gross_lkr_weekly_uva_high_2025,,,1211.69
01_sales_index,gross_lkr_todate_uva_high_2026,,,982.75
01_sales_index,gross_lkr_todate_uva_high_2025,,,1078.86
01_sales_index,gross_lkr_weekly_western_high_2026,,,991.96
01_sales_index,gross_lkr_weekly_western_high_2025,,,1466.2
01_sales_index,gross_lkr_todate_western_high_2026,,,1122.61
01_sales_index,gross_lkr_todate_western_high_2025,,,1083.84
01_sales_index,gross_lkr_weekly_ctc_high_2026,,,963.5
01_sales_index,gross_lkr_weekly_ctc_high_2025,,,1168.03
01_sales_index,gross_lkr_todate_ctc_high_2026,,,999.81
01_sales_index,gross_lkr_todate_ctc_high_2025,,,962.28
01_sales_index,gross_lkr_weekly_high_summary_2026,,,972.12
01_sales_index,gross_lkr_weekly_high_summary_2025,,,1366.32
01_sales_index,gross_lkr_todate_high_summary_2026,,,1078.46
01_sales_index,gross_lkr_todate_high_summary_2025,,,1082.13
01_sales_index,gross_lkr_weekly_uva_medium_2026,,,999.48
01_sales_index,gross_lkr_weekly_uva_medium_2025,,,1177.83
01_sales_index,gross_lkr_todate_uva_medium_2026,,,1027.79
01_sales_index,gross_lkr_todate_uva_medium_2025,,,1138.46
01_sales_index,gross_lkr_weekly_western_medium_2026,,,953.86
01_sales_index,gross_lkr_weekly_western_medium_2025,,,1094.05
01_sales_index,gross_lkr_todate_western_medium_2026,,,987.2
01_sales_index,gross_lkr_todate_western_medium_2025,,,952.51
01_sales_index,gross_lkr_weekly_ctc_medium_2026,,,868.02
01_sales_index,gross_lkr_weekly_ctc_medium_2025,,,1061.48
01_sales_index,gross_lkr_todate_ctc_medium_2026,,,915.84
01_sales_index,gross_lkr_todate_ctc_medium_2025,,,811.64
01_sales_index,gross_lkr_weekly_medium_summary_2026,,,969.0
01_sales_index,gross_lkr_weekly_medium_summary_2025,,,1124.03
01_sales_index,gross_lkr_todate_medium_summary_2026,,,1000.06
01_sales_index,gross_lkr_todate_medium_summary_2025,,,1012.42
01_sales_index,gross_lkr_weekly_orthodox_low_2026,,,1252.51
01_sales_index,gross_lkr_weekly_orthodox_low_2025,,,1435.62
01_sales_index,gross_lkr_todate_orthodox_low_2026,,,1282.93
01_sales_index,gross_lkr_todate_orthodox_low_2025,,,1354.58
01_sales_index,gross_lkr_weekly_ctc_low_2026,,,1019.92
01_sales_index,gross_lkr_weekly_ctc_low_2025,,,1015.61
01_sales_index,gross_lkr_todate_ctc_low_2026,,,972.63
01_sales_index,gross_lkr_todate_ctc_low_2025,,,946.85
01_sales_index,gross_lkr_weekly_low_summary_2026,,,1237.78
01_sales_index,gross_lkr_weekly_low_summary_2025,,,1408.99
01_sales_index,gross_lkr_todate_low_summary_2026,,,1265.4
01_sales_index,gross_lkr_todate_low_summary_2025,,,1326.65
01_sales_index,sl_production_mkgs,Sri Lanka monthly tea production (M/Kgs),float,21.37
01_sales_index,sl_production_yoy_variance,Year-on-year production variance M/Kgs (negative = decline),float,-0.78
02_auction_offerings,sale_id,Primary key: SALE_{number}_{year},text,SALE_2023_46
02_auction_offerings,category,Tea category: ex_estate / high_medium / lg_leafy / lg_semi_leafy / lg_tippy / premium_flowery / off_grades / dust / total,text,ex_estate
02_auction_offerings,qty_mkgs,Quantity on offer in Million Kilograms,float,0.65
02_auction_offerings,demand_label,Demand description: good / fair / fair_general / less / poor,text,improved
02_auction_offerings,demand_score,Demand encoded numerically: good=4 fair=3 less=2 poor=1,integer,3
02_auction_offerings,lots,Number of lots in this category,integer,631.0
02_auction_offerings,kgs,Kilograms offered in this category,integer,650989.0
03_quantity_sold,sale_id,Primary key: SALE_{number}_{year},text,SALE_2023_46
03_quantity_sold,sale_number,Auction sale number within the year,integer,46
03_quantity_sold,sale_year,Calendar year of the sale,integer,2023.0
03_quantity_sold,sale_month,Month name of the sale,text,November
03_quantity_sold,private_sales_weekly_2026,Private sales volume this week 2026 (kgs),integer,78328.0
03_quantity_sold,private_sales_weekly_2025,Private sales volume this week 2025 (kgs),integer,77259.0
03_quantity_sold,private_sales_todate_2026,,,4581454.0
03_quantity_sold,private_sales_todate_2025,,,3720063.0
03_quantity_sold,public_auction_weekly_2026,Public auction volume sold this week 2026 (kgs),integer,4738698.0
03_quantity_sold,public_auction_weekly_2025,Public auction volume sold this week 2025 (kgs),integer,3916214.0
03_quantity_sold,public_auction_todate_2026,Public auction year-to-date volume 2026 (kgs),integer,215096696.0
03_quantity_sold,public_auction_todate_2025,Public auction year-to-date volume 2025 (kgs),integer,215472931.0
03_quantity_sold,forward_contracts_weekly_2026,Forward contract volume this week 2026 (kgs),integer,25000.0
03_quantity_sold,forward_contracts_weekly_2025,,,45650.0
03_quantity_sold,forward_contracts_todate_2026,Forward contract year-to-date volume 2026 (kgs),integer,2098908.0
03_quantity_sold,forward_contracts_todate_2025,,,1710490.0
03_quantity_sold,total_sold_weekly_2026,Total all-channel volume sold this week 2026 (kgs),integer,4842026.0
03_quantity_sold,total_sold_weekly_2025,Total all-channel volume sold this week 2025 (kgs),integer,4039123.0
03_quantity_sold,total_sold_todate_2026,,,221777058.0
03_quantity_sold,total_sold_todate_2025,,,220903484.0
03_quantity_sold,fx_usd_2026,LKR per USD (current year),float,323.05
03_quantity_sold,fx_usd_2025,LKR per USD (prior year),float,360.99
03_quantity_sold,fx_usd_2024,LKR per USD (two years prior),float,198.5
03_quantity_sold,fx_gbp_2026,LKR per GBP (current year),float,403.32
03_quantity_sold,fx_gbp_2025,,,425.82
03_quantity_sold,fx_gbp_2024,,,264.44
03_quantity_sold,fx_eur_2026,LKR per EUR (current year),float,352.37
03_quantity_sold,fx_eur_2025,,,367.96
03_quantity_sold,fx_eur_2024,,,222.05
03_quantity_sold,fx_jpy_2026,LKR per JPY (current year),float,2.17
03_quantity_sold,fx_jpy_2025,,,2.52
03_quantity_sold,fx_jpy_2024,,,1.71
04_high_grown_prices,sale_id,Primary key: SALE_{number}_{year},text,SALE_2023_46
04_high_grown_prices,elevation,high_grown / low_grown / off_grade / dust,text,high_grown
04_high_grown_prices,segment,Price segment: best_western / below_best_western / plainer_western / nuwara_eliya / brighter_udapussellawa / other_udapussellawa / best_uva / other_uva,text,best_western
04_high_grown_prices,grade,Tea grade: bop / bopf / pekoe_fbop / op  (HG) or fbop1 / fbop / bop1 / bopf / bop / fbopf1 / fbopf / fbopf_tippy / op1 / opa / op / pekoe / pek1 (LG),text,bop
04_high_grown_prices,price_lo_lkr,Lower bound of quoted price range (LKR per kg),float,1240.0
04_high_grown_prices,price_hi_lkr,Upper bound of quoted price range (LKR per kg). NULL if open-ended.,float,1380.0
05_low_grown_prices,sale_id,Primary key: SALE_{number}_{year},text,SALE_2023_46
05_low_grown_prices,elevation,high_grown / low_grown / off_grade / dust,text,low_grown
05_low_grown_prices,grade,Tea grade: bop / bopf / pekoe_fbop / op  (HG) or fbop1 / fbop / bop1 / bopf / bop / fbopf1 / fbopf / fbopf_tippy / op1 / opa / op / pekoe / pek1 (LG),text,fbopf_tippy
05_low_grown_prices,tier,Quality tier: select_best / best / below_best / others,text,select_best
05_low_grown_prices,price_lo_lkr,Lower bound of quoted price range (LKR per kg),float,3600.0
05_low_grown_prices,price_hi_lkr,Upper bound of quoted price range (LKR per kg). NULL if open-ended.,float,4600.0
06_offgrade_dust_prices,sale_id,Primary key: SALE_{number}_{year},text,SALE_2023_46
06_offgrade_dust_prices,category_type,off_grade or dust,text,off_grade
06_offgrade_dust_prices,category,Tea category: ex_estate / high_medium / lg_leafy / lg_semi_leafy / lg_tippy / premium_flowery / off_grades / dust / total,text,fannings_orthodox_better
06_offgrade_dust_prices,elevation,high_grown / low_grown / off_grade / dust,text,high
06_offgrade_dust_prices,price_lo_lkr,Lower bound of quoted price range (LKR per kg),float,750.0
06_offgrade_dust_prices,price_hi_lkr,Upper bound of quoted price range (LKR per kg). NULL if open-ended.,float,1060.0
07_top_prices,sale_id,Primary key: SALE_{number}_{year},text,SALE_2023_46
07_top_prices,estate,Name of the tea estate,text,Dartry Valley
07_top_prices,grade,Tea grade: bop / bopf / pekoe_fbop / op  (HG) or fbop1 / fbop / bop1 / bopf / bop / fbopf1 / fbopf / fbopf_tippy / op1 / opa / op / pekoe / pek1 (LG),text,BOP
07_top_prices,fw_sold,"1 if the lot was brokered by Forbes & Walker, else 0",integer,1
07_top_prices,price_lkr,Top price achieved (LKR per kg),integer,1750
07_top_prices,region,Region header this record appeared under in the PDF,text,WESTERN MEDIUM
09_weather_features,sale_id,Primary key: SALE_{number}_{year},text,SALE_2023_42
09_weather_features,auction_date,,,2023-10-24
09_weather_features,region,Region header this record appeared under in the PDF,text,low_grown
09_weather_features,region_label,,,Low Grown (Matara / Galle belt)
09_weather_features,lat,,,6.25
09_weather_features,lon,,,80.3
09_weather_features,pdf_source,,,Sale of 24 & 25 October 2023.pdf
09_weather_features,text_condition_score,,,0
09_weather_features,text_crop_change,,,decrease
09_weather_features,text_has_rain,,,0
09_weather_features,text_has_mist,,,0
09_weather_features,text_has_bright,,,0
09_weather_features,text_has_thunder,,,0
09_weather_features,text_keywords,,,sunny|showers|heavy
09_weather_features,text_raw_summary,,,"Low Grown
the week ahead.
Region reported a decline."
09_weather_features,temperature_2m_max_mean,,,27.49
09_weather_features,temperature_2m_max_max,,,29.6
09_weather_features,temperature_2m_max_min,,,25.6
09_weather_features,temperature_2m_min_mean,,,22.6
09_weather_features,temperature_2m_min_max,,,23.3
09_weather_features,temperature_2m_min_min,,,22.2
09_weather_features,temperature_2m_mean_mean,,,24.4
09_weather_features,temperature_2m_mean_max,,,25.3
09_weather_features,temperature_2m_mean_min,,,23.7
09_weather_features,precipitation_sum_total,,,230.0
09_weather_features,precipitation_sum_max_day,,,43.9
09_weather_features,rain_sum_total,,,230.0
09_weather_features,rain_sum_max_day,,,43.9
09_weather_features,windspeed_10m_max_mean,,,10.74
09_weather_features,windspeed_10m_max_max,,,13.6
09_weather_features,windspeed_10m_max_min,,,7.9
09_weather_features,sunshine_duration_total,,,85671.11
09_weather_features,sunshine_duration_max_day,,,29313.52
09_weather_features,et0_fao_evapotranspiration_total,,,14.97
09_weather_features,et0_fao_evapotranspiration_max_day,,,3.27
09_weather_features,relative_humidity_2m_max_mean,,,98.29
09_weather_features,relative_humidity_2m_max_max,,,99
09_weather_features,relative_humidity_2m_max_min,,,98
09_weather_features,relative_humidity_2m_min_mean,,,82.43
09_weather_features,relative_humidity_2m_min_max,,,90
09_weather_features,relative_humidity_2m_min_min,,,72
09_weather_features,fetch_start,,,2023-10-17
09_weather_features,fetch_end,,,2023-10-23
09_weather_features,precipitation_sum_total_lag1,,,65.2
09_weather_features,sunshine_duration_total_lag1,,,154747.77
09_weather_features,temperature_2m_mean_mean_lag1,,,25.03
09_weather_features,precipitation_sum_total_lag2,,,191.6
09_weather_features,sunshine_duration_total_lag2,,,140305.23
09_weather_features,temperature_2m_mean_mean_lag2,,,25.09
09_weather_features,precipitation_sum_total_lag3,,,169.6
09_weather_features,sunshine_duration_total_lag3,,,138530.06
09_weather_features,temperature_2m_mean_mean_lag3,,,24.86
