table,column,description,data_type,example_value
03_quantity_sold,public_auction_todate_2026,Public auction year-to-date volume 2026 (kgs),integer,24012876
03_quantity_sold,public_auction_todate_2025,Public auction year-to-date volume 2025 (kgs),integer,25587189
03_quantity_sold,forward_contracts_weekly_2026,Forward contract volume this week 2026 (kgs),integer,41600
03_quantity_sold,forward_contracts_weekly_2025,,,50070
03_quantity_sold,forward_contracts_todate_2026,Forward contract year-to-date volume 2026 (kgs),integer,191600
03_quantity_sold,forward_contracts_todate_2025,,,339970
03_quantity_sold,total_sold_weekly_2026,Total all-channel volume sold this week 2026 (kgs),integer,5106861
03_quantity_sold,total_sold_weekly_2025,Total all-channel volume sold this week 2025 (kgs),integer,5480943
03_quantity_sold,total_sold_todate_2026,,,25324307
03_quantity_sold,total_sold_todate_2025,,,27104695
03_quantity_sold,fx_usd_2026,LKR per USD (current year),float,305.76
03_quantity_sold,fx_usd_2025,LKR per USD (prior year),float,292.79
03_quantity_sold,fx_usd_2024,LKR per USD (two years prior),float,308.56
03_quantity_sold,fx_gbp_2026,LKR per GBP (current year),float,417.26
03_quantity_sold,fx_gbp_2025,,,360.2
03_quantity_sold,fx_gbp_2024,,,387.69
03_quantity_sold,fx_eur_2026,LKR per EUR (current year),float,362.86
03_quantity_sold,fx_eur_2025,,,299.73
03_quantity_sold,fx_eur_2024,,,330.69
03_quantity_sold,fx_jpy_2026,LKR per JPY (current year),float,1.95
03_quantity_sold,fx_jpy_2025,,,1.91
03_quantity_sold,fx_jpy_2024,,,2.07
04_high_grown_prices,sale_id,Primary key: SALE_{number}_{year},text,SALE_06_2026
04_high_grown_prices,elevation,high_grown / low_grown / off_grade / dust,text,high_grown
04_high_grown_prices,segment,Price segment: best_western / below_best_western / plainer_western / nuwara_eliya / brighter_udapussellawa / other_udapussellawa / best_uva / other_uva,text,best_western
04_high_grown_prices,grade,Tea grade: bop / bopf / pekoe_fbop / op  (HG) or fbop1 / fbop / bop1 / bopf / bop / fbopf1 / fbopf / fbopf_tippy / op1 / opa / op / pekoe / pek1 (LG),text,bop
04_high_grown_prices,price_lo_lkr,Lower bound of quoted price range (LKR per kg),float,1460.0
04_high_grown_prices,price_hi_lkr,Upper bound of quoted price range (LKR per kg). NULL if open-ended.,float,1700.0
05_low_grown_prices,sale_id,Primary key: SALE_{number}_{year},text,SALE_06_2026
05_low_grown_prices,elevation,high_grown / low_grown / off_grade / dust,text,low_grown
05_low_grown_prices,grade,Tea grade: bop / bopf / pekoe_fbop / op  (HG) or fbop1 / fbop / bop1 / bopf / bop / fbopf1 / fbopf / fbopf_tippy / op1 / opa / op / pekoe / pek1 (LG),text,fbopf_tippy
05_low_grown_prices,tier,Quality tier: select_best / best / below_best / others,text,select_best
05_low_grown_prices,price_lo_lkr,Lower bound of quoted price range (LKR per kg),float,3500.0
05_low_grown_prices,price_hi_lkr,Upper bound of quoted price range (LKR per kg). NULL if open-ended.,float,3900.0
06_offgrade_dust_prices,sale_id,Primary key: SALE_{number}_{year},text,SALE_06_2026
06_offgrade_dust_prices,category_type,off_grade or dust,text,off_grade
06_offgrade_dust_prices,category,Tea category: ex_estate / high_medium / lg_leafy / lg_semi_leafy / lg_tippy / premium_flowery / off_grades / dust / total,text,fannings_orthodox_better
06_offgrade_dust_prices,elevation,high_grown / low_grown / off_grade / dust,text,high
06_offgrade_dust_prices,price_lo_lkr,Lower bound of quoted price range (LKR per kg),float,820.0
06_offgrade_dust_prices,price_hi_lkr,Upper bound of quoted price range (LKR per kg). NULL if open-ended.,float,1260.0
07_top_prices,sale_id,Primary key: SALE_{number}_{year},text,SALE_06_2026
07_top_prices,estate,Name of the tea estate,text,Dartry Valley
07_top_prices,grade,Tea grade: bop / bopf / pekoe_fbop / op  (HG) or fbop1 / fbop / bop1 / bopf / bop / fbopf1 / fbopf / fbopf_tippy / op1 / opa / op / pekoe / pek1 (LG),text,BOP
07_top_prices,fw_sold,"1 if the lot was brokered by Forbes & Walker, else 0",integer,1
07_top_prices,price_lkr,Top price achieved (LKR per kg),integer,1750
07_top_prices,region,Region header this record appeared under in the PDF,text,WESTERN HIGH
09_weather_features,sale_id,Primary key: SALE_{number}_{year},text,SALE_01_2026
09_weather_features,auction_date,,,2026-01-06
09_weather_features,region,Region header this record appeared under in the PDF,text,low_grown
09_weather_features,region_label,,,Low Grown (Matara / Galle belt)
09_weather_features,lat,,,6.25
09_weather_features,lon,,,80.3
09_weather_features,pdf_source,,,Sale of 6 & 7 January 2026.pdf
09_weather_features,text_condition_score,,,0
09_weather_features,text_crop_change,,,decrease
09_weather_features,text_has_rain,,,1
09_weather_features,text_has_mist,,,0
09_weather_features,text_has_bright,,,1
09_weather_features,text_has_thunder,,,0
09_weather_features,text_keywords,,,sunny|showers
09_weather_features,text_raw_summary,,,"Low Grown
Uva/Udapussellawa Regions regions reported a decrease.
Both regions reported sunny mornings and evening showers
throughout the week. According to the Department of
Meteorology, showers are expected in the"
09_weather_features,temperature_2m_max_mean,,,29.76
09_weather_features,temperature_2m_max_max,,,31.4
09_weather_features,temperature_2m_max_min,,,27.3
09_weather_features,temperature_2m_min_mean,,,21.97
09_weather_features,temperature_2m_min_max,,,22.6
09_weather_features,temperature_2m_min_min,,,21.0
09_weather_features,temperature_2m_mean_mean,,,25.03
09_weather_features,temperature_2m_mean_max,,,25.7
09_weather_features,temperature_2m_mean_min,,,24.4
09_weather_features,precipitation_sum_total,,,16.5
09_weather_features,precipitation_sum_max_day,,,5.1
09_weather_features,rain_sum_total,,,16.5
09_weather_features,rain_sum_max_day,,,5.1
09_weather_features,windspeed_10m_max_mean,,,12.49
09_weather_features,windspeed_10m_max_max,,,21.0
09_weather_features,windspeed_10m_max_min,,,8.0
09_weather_features,sunshine_duration_total,,,233157.27
09_weather_features,sunshine_duration_max_day,,,40437.73
09_weather_features,et0_fao_evapotranspiration_total,,,24.01
09_weather_features,et0_fao_evapotranspiration_max_day,,,4.17
09_weather_features,relative_humidity_2m_max_mean,,,98.43
09_weather_features,relative_humidity_2m_max_max,,,100
09_weather_features,relative_humidity_2m_max_min,,,97
09_weather_features,relative_humidity_2m_min_mean,,,63.0
09_weather_features,relative_humidity_2m_min_max,,,76
09_weather_features,relative_humidity_2m_min_min,,,54
09_weather_features,fetch_start,,,2025-12-30
09_weather_features,fetch_end,,,2026-01-05
09_weather_features,precipitation_sum_total_lag1,,,16.5
09_weather_features,precipitation_sum_total_lag2,,,16.5
09_weather_features,precipitation_sum_total_lag3,,,16.5
09_weather_features,rain_sum_total_lag1,,,16.5
09_weather_features,rain_sum_total_lag2,,,16.5
09_weather_features,rain_sum_total_lag3,,,16.5
09_weather_features,temperature_2m_mean_mean_lag1,,,25.03
09_weather_features,temperature_2m_mean_mean_lag2,,,25.03
09_weather_features,temperature_2m_mean_mean_lag3,,,25.03
09_weather_features,sunshine_duration_total_lag1,,,233157.27
09_weather_features,sunshine_duration_total_lag2,,,233157.27
09_weather_features,sunshine_duration_total_lag3,,,233157.27
09_weather_features,relative_humidity_2m_max_max_lag1,,,100.0
09_weather_features,relative_humidity_2m_max_max_lag2,,,100.0
09_weather_features,relative_humidity_2m_max_max_lag3,,,100.0
09_weather_features,text_condition_score_lag1,,,0.0
09_weather_features,text_condition_score_lag2,,,0.0
09_weather_features,text_condition_score_lag3,,,0.0
